entry_time,exit_time,direction,tier,entry_price,tp_price,sl_price,exit_price,result,pnl_pct,pnl_abs
2022-05-04 07:30:00,2022-05-04 07:45:00,short,1,38444.96983453933,38169.07206254834,38536.93575853633,38536.93575853633,SL,-0.33921445222302055,-91.85128957587807
2022-05-05 13:30:00,2022-05-05 13:45:00,long,3,39223.35788475874,39489.94084118933,39185.274605268656,39185.274605268656,SL,-0.19709336870641436,-90.9327766801193
2022-05-10 06:30:00,2022-05-10 11:30:00,short,2,32605.152070679567,31479.08112845412,32892.095742150326,31670.725000000002,trail,3.0597736585285418,281.05670852824016
2022-05-13 02:15:00,2022-05-13 02:30:00,short,1,29880.5416506357,29214.698885779944,30102.489238920953,30102.489238920953,SL,-0.8427830153826248,-92.8340159986005
2022-05-13 03:30:00,2022-05-13 03:45:00,short,1,30506.482259334047,29666.433701806305,30786.49844517663,30786.49844517663,SL,-1.0178907730566196,-91.9056758386145
2022-05-13 05:15:00,2022-05-13 17:00:00,short,1,30856.602517721192,30119.2180618372,31112.60631665922,30124.682142857142,trail,2.2808597040199237,223.23053725661663
2022-05-14 18:00:00,2022-05-14 18:15:00,short,1,29681.80317730208,29227.468697557913,29833.24800388347,29833.24800388347,SL,-0.6102278513092464,-93.21892445279451
2022-05-14 22:45:00,2022-05-15 04:00:00,short,3,30333.657800034962,29580.246933592705,30441.287923812426,29769.242857142857,trail,2.072217109492219,420.46924091054916
2022-05-15 12:00:00,2022-05-15 12:15:00,short,2,30414.79905055406,29884.75136219804,30520.808588225264,30520.808588225264,SL,-0.4485459085065828,-96.49142761737207
2022-05-15 20:00:00,2022-05-15 20:15:00,short,3,30988.07359550428,30242.659921133833,31094.561263271487,31094.561263271487,SL,-0.44364081213056245,-95.52651334119837
2022-05-15 22:00:00,2022-05-16 04:30:00,short,1,31290.809185767783,30664.25618745939,31499.660185203913,30376.46785714286,trail,2.362215530741489,291.090249741237
2022-05-19 13:00:00,2022-05-19 14:00:00,short,1,29662.7554561508,29309.66502657485,29780.45226600945,29780.45226600945,SL,-0.49678313106359073,-97.48215070519875
2022-05-19 15:00:00,2022-05-19 15:15:00,short,1,29918.693074721323,29545.06153512736,30043.236921252643,30043.236921252643,SL,-0.5162743546994994,-96.50732919814676
2022-05-19 16:15:00,2022-05-20 01:30:00,short,1,30339.273949416227,29835.765701550314,30507.1100320382,30507.1100320382,SL,-0.6531974262198905,-95.54225590616531
2022-05-22 09:15:00,2022-05-22 09:30:00,short,1,29567.86359289369,29442.829300527756,29609.541690349,29609.541690349,SL,-0.24095741927505407,-94.58683334710366
2022-05-24 23:00:00,2022-05-25 02:15:00,short,2,29857.153685174995,29485.759889760076,29931.43244425798,29931.43244425798,SL,-0.3487804425907642,-93.64096501363261
2022-05-29 08:15:00,2022-05-29 10:00:00,short,3,29168.3110973204,29005.6338235128,29191.550707864342,29037.9,trail,0.4024088815943166,207.62659369165632
2022-05-29 12:15:00,2022-05-29 20:00:00,short,2,29432.784569149106,29138.893243757648,29491.562834227396,29169.053571428572,trail,0.8472809509442073,267.95154892552
2022-06-01 14:30:00,2022-06-01 15:15:00,long,3,31020.65642182969,31577.580956621678,30941.095774002264,30941.095774002264,SL,-0.3564763515817789,-97.46033678966806
2022-06-01 16:15:00,2022-06-01 16:45:00,long,1,30520.383190168184,31176.58056448381,30301.650732062975,30301.650732062975,SL,-0.8166766443996394,-96.48573342177137
2022-06-03 22:00:00,2022-06-04 01:00:00,short,1,29814.518289981595,29649.577282152124,29869.498625924753,29649.75,trail,0.45293413531664733,152.12186753584936
2022-06-05 15:45:00,2022-06-05 16:00:00,short,2,29968.82946647223,29756.16495633316,30011.362368500046,30011.362368500046,SL,-0.24192380144642917,-97.04209476291213
2022-06-07 00:15:00,2022-06-07 00:30:00,long,3,30742.967048821192,31319.655269474057,30660.583017299356,30660.583017299356,SL,-0.3679768396817628,-96.07167381528302
2022-06-07 18:00:00,2022-06-07 18:15:00,short,1,30069.897147614913,29835.0106110545,30148.192659801716,30148.192659801716,SL,-0.3603783837451994,-95.1109570771302
2022-06-12 15:15:00,2022-06-12 15:30:00,short,2,28079.43387366943,27559.071563984256,28183.506335606464,28183.506335606464,SL,-0.47063589816397444,-94.1598475063589
2022-06-16 01:00:00,2022-06-16 07:00:00,short,1,22922.0813683512,22345.016683977265,23114.43626314251,21906.082142857143,trail,3.3749547483666826,334.9849999454956
2022-06-19 10:15:00,2022-06-19 10:45:00,short,2,19790.45585150552,18749.91949732709,19998.56312234121,19998.56312234121,SL,-1.1515537004159329,-96.56809903075029
2022-06-19 19:00:00,2022-06-19 20:30:00,short,3,20318.209659899636,19610.660711903198,20424.23506411614,20424.23506411614,SL,-0.6218245406028904,-95.60241804044277
2022-06-21 06:00:00,2022-06-21 07:00:00,short,2,21127.393926892688,20668.128953569245,21219.246921557376,21219.246921557376,SL,-0.5347578077188713,-94.64639386003837
2022-06-21 08:30:00,2022-06-21 12:15:00,short,1,21376.84139761266,20981.39560580439,21508.65666154875,21058.553571428572,trail,1.5694085078258275,205.20239202180073
2022-06-21 13:30:00,2022-06-21 13:45:00,short,2,21492.524271239035,21127.403422554034,21565.548440976036,21565.548440976036,SL,-0.43976544037091075,-95.75195384165595
2022-06-23 19:45:00,2022-06-23 20:00:00,short,2,20860.23943657145,20510.453001289454,20953.70495436817,20953.70495436817,SL,-0.548055824483304,-94.79443430323938
2022-06-28 08:45:00,2022-06-28 09:00:00,short,2,21083.4136644061,20853.523911225893,21129.391615042143,21129.391615042143,SL,-0.31807640531032555,-93.846489960207
2022-06-30 23:45:00,2022-07-01 00:15:00,short,3,19881.35705991821,19029.238314434846,20003.088309272975,20003.088309272975,SL,-0.7122884317599292,-92.90802506060493
2022-07-03 19:30:00,2022-07-03 19:45:00,short,2,19384.87603819862,19173.51500596286,19427.148244645774,19427.148244645774,SL,-0.3180679740425152,-91.97894480999886
2022-07-04 09:45:00,2022-07-04 10:00:00,short,3,19388.799954620838,19172.778074796435,19419.660223167182,19419.660223167182,SL,-0.25916543890582544,-91.05915536189887
2022-07-04 11:00:00,2022-07-04 11:15:00,short,1,19515.736115244843,19289.97139131118,19590.99102322273,19590.99102322273,SL,-0.4856114242039863,-90.14856380827989
2022-07-04 12:15:00,2022-07-04 15:00:00,short,1,19783.976841428066,19443.660834111164,19897.4155105337,19897.4155105337,SL,-0.6733865845823891,-89.2470781701971
2022-07-05 08:30:00,2022-07-05 09:30:00,long,2,19867.464839800563,20193.949876779716,19802.16783240473,19802.16783240473,SL,-0.4286630071946653,-88.35460738849511
2022-07-08 09:00:00,2022-07-08 12:30:00,long,2,21386.50627769417,21754.18414731753,21292.71934635085,21292.71934635085,SL,-0.5385332046550331,-87.47106131461017
