entry_t,exit_t,direction,entry,tp,sl,exit,result,pnl_pct,pnl_abs
2023-04-10 21:30:00,2023-04-10 22:00:00,short,29239.609761402062,29035.2771741834,29290.69290820673,29290.69290820673,SL,-0.2747052960744361,-7.638359151735874
2023-04-19 15:30:00,2023-04-19 16:15:00,long,29028.44716357103,29340.488620822667,28950.436799258117,29340.488620822667,TP,0.9749505665712348,19.79207248408805
2023-04-22 01:15:00,2023-04-22 02:00:00,long,27136.931952976,27311.974270508825,27093.17137359279,27311.974270508825,TP,0.5450335573532988,16.442134945192215
2023-04-26 06:00:00,2023-04-26 06:30:00,short,28465.59214087014,28329.284958805034,28499.668936386417,28329.284958805034,TP,0.3788489253641751,14.156946406634313
2023-05-12 19:30:00,2023-05-12 19:45:00,long,25886.685328293464,26269.127274179024,25791.074841822076,26269.127274179024,TP,1.377369315675036,24.92545110048767
2023-05-15 14:15:00,2023-05-15 14:45:00,long,27207.50491693184,27353.30677050816,27171.05445353776,27353.30677050816,TP,0.4358883661749621,16.75189149552132
2023-05-18 00:15:00,2023-05-18 01:30:00,short,27453.761123609493,27312.97971978036,27488.956474566778,27312.97971978036,TP,0.41279459741515856,16.871789085612242
2023-05-18 12:15:00,2023-05-18 12:30:00,short,27456.280958962536,27352.67333741331,27482.18286434984,27352.67333741331,TP,0.2773548999738229,13.7927633911923
2023-05-28 11:15:00,2023-05-28 11:30:00,short,27276.823985756288,27173.078987245673,27302.76023538394,27173.078987245673,TP,0.2803411957520744,14.284327995881831
2023-05-29 22:00:00,2023-05-29 22:15:00,long,27568.898557174114,27667.078822552743,27544.353490829457,27544.353490829457,SL,-0.18903172643533125,-10.225939506793356
2023-05-31 09:30:00,2023-05-31 11:00:00,long,27040.172754132596,27201.739466047373,26999.781076153904,26999.781076153904,SL,-0.24937655297531036,-10.021420716657488
2023-06-04 13:45:00,2023-06-04 14:00:00,short,27263.433524226697,27191.09631476101,27281.51782659312,27191.09631476101,TP,0.16532685034483272,9.76166059591631
2023-06-05 09:00:00,2023-06-05 10:15:00,long,26761.52394260833,26829.128164496713,26744.622887136236,26744.622887136236,SL,-0.16315430880670562,-10.016225514242665
2023-06-10 01:00:00,2023-06-10 01:15:00,long,26403.900084412584,26464.913158708783,26388.646815838532,26464.913158708783,TP,0.13107599294476185,8.155144452492696
2023-06-10 17:00:00,2023-06-10 17:15:00,short,25738.08756766691,25634.120253638375,25764.079396174042,25764.079396174042,SL,-0.2009858577829397,-9.979003893007667
2023-06-13 01:30:00,2023-06-13 02:30:00,short,26042.550304557106,25906.01635169832,26076.6837927718,26076.6837927718,SL,-0.23106814738002787,-9.779423815147513
