entry_time,exit_time,direction,tier,entry_price,tp_price,sl_price,exit_price,result,pnl_pct,pnl_abs
2022-01-06 09:30:00,2022-01-06 09:45:00,long,3,42550.1674852787,43037.52975977494,42428.32691665464,42428.32691665464,SL,-0.386345685163783,-100.0
2022-01-07 08:15:00,2022-01-07 13:30:00,short,3,42683.663714847244,41843.815580765884,42893.62574836759,41843.815580765884,TP,1.8676102306776063,312.37136998544594
2022-01-08 15:00:00,2022-01-08 16:30:00,long,3,41436.24253994951,41852.905001508174,41332.07692455985,41332.07692455985,SL,-0.3513876959022861,-102.12371369985445
2022-01-11 01:30:00,2022-01-11 02:15:00,short,3,42010.52425470722,41674.94132523729,42094.4199870747,42094.4199870747,SL,-0.2997017029800184,-101.10247656285591
2022-01-11 08:15:00,2022-01-11 08:30:00,short,3,42435.31765825172,42121.82815144679,42513.69003495295,42121.82815144679,TP,0.638746695216433,224.57350462032866
2022-01-12 11:30:00,2022-01-12 13:30:00,short,3,43359.48428865915,42752.29465706946,43511.28169655657,43511.28169655657,SL,-0.4500904367008934,-102.33718684343063
2022-01-12 21:15:00,2022-01-13 00:45:00,short,3,44208.393521097234,43702.27422611365,44334.92334484313,43702.27422611365,TP,1.0448488729680954,274.0918603625948
2022-01-14 19:30:00,2022-01-14 21:45:00,short,3,43305.84269116479,42920.15525522776,43402.26455014905,43402.26455014905,SL,-0.322653233356728,-104.05473357862226
2022-01-15 04:15:00,2022-01-15 05:45:00,long,3,42709.00271016381,43001.22736877916,42635.94654550997,43001.22736877916,TP,0.5842226230344771,222.03269630405478
2022-01-21 12:30:00,2022-01-21 14:30:00,long,3,37710.0068062103,38801.75750676247,37437.06913107226,38801.75750676247,TP,2.7951219928509095,357.06514406068084
2022-01-21 21:45:00,2022-01-21 22:45:00,long,3,36223.69358906526,38013.167665374014,35776.325069988074,35776.325069988074,SL,-1.3350162966601298,-108.8051646464834
2022-01-22 03:30:00,2022-01-22 05:45:00,long,3,35961.86168412347,36570.28571867339,35809.75567548599,35809.75567548599,SL,-0.5229647785576973,-107.7171130000186
2022-01-22 10:00:00,2022-01-22 10:30:00,long,3,33968.01021616057,35497.783523685306,33585.566889279384,35497.783523685306,TP,4.403570558857567,383.0649546329782
2022-01-23 14:45:00,2022-01-23 18:45:00,long,3,35040.23046526431,35658.208498032436,34885.73595707228,34885.73595707228,SL,-0.5409060846365786,-110.47059141634819
2022-01-24 09:15:00,2022-01-24 10:00:00,long,3,34476.43688683501,35090.08942866167,34323.02375137834,34323.02375137834,SL,-0.5449796710728103,-109.36588550218471
2022-01-25 14:15:00,2022-01-25 14:30:00,short,3,36852.04700544152,36402.24355992829,36964.49786681983,36964.49786681983,SL,-0.405141425011497,-108.27222664716287
2022-01-26 19:00:00,2022-01-26 19:15:00,short,3,38689.15392050268,37964.9222617886,38870.2118351812,37964.9222617886,TP,1.771924261259915,334.3979138798251
2022-01-29 13:30:00,2022-01-29 14:45:00,short,3,38152.51257520896,37776.64772647488,38246.47878739248,37776.64772647488,TP,0.8851640779703417,282.5377024438614
2022-01-31 22:30:00,2022-01-31 23:00:00,short,3,38663.482009527695,38352.766087165815,38741.160990118166,38352.766087165815,TP,0.7036418506882323,265.0756564485703
2022-02-02 21:15:00,2022-02-02 21:30:00,long,3,37057.59870268893,37493.09184124029,36948.725418051086,36948.725418051086,SL,-0.39379476396008567,-116.00961710841382
