entry_time,exit_time,direction,tier,entry_price,tp_price,sl_price,exit_price,result,pnl_pct,pnl_abs
2022-01-09 19:15:00,2022-01-10 14:15:00,short,3,42586.51,40456.56,44716.46000000001,40456.56,TP,4.901466426809814,96.07955863535753
2022-01-11 08:15:00,2022-01-12 08:15:00,short,2,42205.55,39610.0,44801.100000000006,42580.97,timeout,-0.9895038685670445,-15.984729056939438
2022-01-12 09:15:00,2022-01-13 09:15:00,short,3,42849.4,39610.0,46088.8,43869.69,timeout,-2.481106853304832,-32.65000511253381
2022-01-13 15:15:00,2022-01-14 10:45:00,long,3,43274.5,44300.0,42249.0,42249.0,SL,-2.4697558608418353,-100.47444824465886
2022-01-18 22:30:00,2022-01-19 07:15:00,short,2,42470.17,41260.0,43680.34,41260.0,TP,2.7494588083824443,92.72475763992591
2022-01-23 08:00:00,2022-01-24 08:00:00,short,2,35666.29,33950.0,37382.58,35019.84,timeout,1.712495776824571,35.00134264838709
2022-01-25 10:15:00,2022-01-26 10:15:00,short,2,36454.63,32853.83,40055.42999999999,37695.39,timeout,-3.503573153807903,-35.37709355423233
2022-01-26 19:00:00,2022-01-27 19:00:00,short,3,37831.57,32853.83,42809.31,36213.19,timeout,4.177855769665381,31.63673425359686
2022-01-29 15:45:00,2022-01-30 15:45:00,long,3,37543.79,38886.58,36201.0,37962.13,timeout,1.0142721605889988,27.783003997239167
2022-02-01 10:15:00,2022-02-01 13:15:00,long,2,38135.09,38750.94,37519.23999999999,38750.94,TP,1.5149168652807843,89.20986505244475
2022-02-05 17:00:00,2022-02-06 14:30:00,long,3,41030.0,41922.0,40138.0,41922.0,TP,2.0740190104801366,92.9191874734625
2022-02-06 14:45:00,2022-02-06 23:00:00,long,3,41300.0,41922.0,40678.0,41922.0,TP,1.4060532687651333,90.00603269238961
2022-02-10 14:00:00,2022-02-10 15:30:00,long,2,43350.0,45600.0,41100.0,45600.0,TP,5.090311418685121,99.78803744568641
2022-02-16 04:15:00,2022-02-17 04:15:00,long,2,43703.6,44777.0,42630.2,43541.7,timeout,-0.47045003157634946,-19.271317823376354
