entry_time,exit_time,direction,entry_price,tp_price,sl_price,exit_price,result,pnl_pct,pnl_abs,ob_low,ob_high
2022-01-05 13:30:00,2022-01-05 17:30:00,long,46419.0,47106.72,46075.14,46075.14,SL,-0.8407742519227053,-4.0,46301.0,46419.0
2022-01-06 13:00:00,2022-01-07 03:15:00,long,43150.71,44776.54799999999,42337.791000000005,42337.791000000005,SL,-1.9839064293495852,-3.92,42808.27,43150.71
2022-01-08 00:15:00,2022-01-08 16:45:00,long,41991.0,43394.600000000006,41289.2,41289.2,SL,-1.771310518920728,-3.8416,41638.23,41991.0
2022-01-09 15:30:00,2022-01-09 19:15:00,long,41589.22,42502.566000000006,41132.547,42502.566000000006,TP,2.096112357962003,6.586816935723206,41402.55,41589.22
2022-01-11 08:30:00,2022-01-11 16:30:00,short,42074.63,40724.778,42749.556,42749.556,SL,-1.7041163047660777,-3.8965043387144647,42074.63,42249.0
2022-01-12 22:00:00,2022-01-13 00:00:00,short,43676.55,42988.45400000001,44020.598,44020.598,SL,-0.8877178943849623,-3.8185742519401757,43676.55,43846.36
2022-01-14 23:30:00,2022-01-15 17:45:00,short,42752.0,41305.206000000006,43475.397,43475.397,SL,-1.792077563622748,-3.742202766901372,42752.0,43211.07
2022-01-16 17:45:00,2022-01-17 05:00:00,short,43091.62,42393.400000000016,43440.729999999996,42393.400000000016,TP,1.5203150403720875,6.125907311615318,43091.62,43212.95
2022-01-18 16:45:00,2022-01-19 07:30:00,long,41769.42,42871.471999999994,41218.394,41218.394,SL,-1.4192091247616032,-3.789876857795651,41618.3,41769.42
2022-01-22 15:45:00,2022-01-23 15:45:00,short,34250.0,30298.069999999992,36225.965000000004,35265.33,timeout,-3.064467153284677,-1.9392071859761544,34250.0,35050.0
2022-01-23 23:00:00,2022-01-24 08:45:00,long,35599.99,37214.46599999999,34792.752,34792.752,SL,-2.367523108854799,-3.6752951769202147,35351.0,35599.99
2022-01-25 06:00:00,2022-01-25 07:00:00,long,36153.04,36870.242000000006,35794.439,35794.439,SL,-1.0918972235806517,-3.6017892733818107,35950.0,36153.04
2022-01-25 10:45:00,2022-01-25 14:15:00,short,36255.49,35105.35199999999,36830.559,36830.559,SL,-1.6861570206332979,-3.5297534879141743,36255.49,36450.0
2022-01-25 15:00:00,2022-01-25 17:15:00,short,36318.39,34486.61,37234.28,37234.28,SL,-2.6218353566884423,-3.459158418155891,36318.39,36649.99
2022-01-25 21:30:00,2022-01-26 04:45:00,long,36429.4,37486.21599999999,35900.992000000006,37486.21599999999,TP,2.8009975459381478,6.124037323343312,36225.7,36429.4
2022-01-26 12:45:00,2022-01-26 13:45:00,short,37618.13,36364.857999999986,38244.766,38244.766,SL,-1.7657818982496096,-3.51245599625964,37618.13,37840.7
2022-01-26 19:15:00,2022-01-26 22:00:00,short,38096.14,36297.94399999999,38995.238000000005,36297.94399999999,TP,4.620152750383663,6.4646454587598035,38096.14,38450.0
2022-01-28 13:45:00,2022-01-29 13:30:00,long,36949.12,38082.06200000001,36382.649,38082.06200000001,TP,2.9662218748376414,6.486920482267147,36708.03,36949.12
2022-01-29 19:00:00,2022-01-29 20:30:00,long,37829.98,38649.23600000001,37420.352,38649.23600000001,TP,2.065626310138172,6.4637216480348565,37749.51,37829.98
2022-01-30 08:30:00,2022-01-31 00:30:00,short,37981.45,37049.68999999999,38447.33,37049.68999999999,TP,2.353197547750308,6.7947846030172165,37981.45,38200.0
2022-02-06 15:00:00,2022-02-06 23:00:00,short,41400.29,40464.082,41868.394,41868.394,SL,-1.2306780701294588,-3.966408320176027,41400.29,41555.89
2022-02-08 14:15:00,2022-02-08 15:00:00,long,44134.17,45615.478,43393.515999999996,43393.515999999996,SL,-1.7781872186562075,-3.8870801537725073,43560.0,44134.17
2022-02-08 20:45:00,2022-02-09 02:00:00,long,44134.17,45601.577999999994,43400.466,43400.466,SL,-1.7624397830524465,-3.809338550697057,43560.0,44134.17
